category	japanese	english	simplified_chinese
角色	１６号	Android #16	16号
角色	１７号	Android #17	17号
角色	１８号	Android #18	18号
角色	クリリン	Krillin	克林
角色	ネイズ	Neize	内兹
角色	リクーム	Recoome	利库姆
角色	グルド	Guldo	古尔多
角色	クウラ	Cooler	古拉
角色	ジース	Jeice	吉斯
角色	ギニュー	Ginyu	基纽
角色	ドドリア	Dodoria	多多利亚
角色	天津飯	Tien	天津饭
角色	バビディ	Babidi	巴比迪
角色	バータ	Burter	巴特
角色	バーダック	Bardock	巴达克
角色	ブルマ	Bulma	布尔玛
角色	ミスター・ブウ	Buu	布欧先生
角色	ブロリー	Broly	布罗利
角色	パラガス	Baragus	帕拉伽斯
角色	コルド大王	King Cold	库尔德王
角色	フリーザ	Frieza	弗利萨
角色	悟天	Goten	悟天
角色	ゴテンクス	Gotenks	悟天克斯
角色	悟空	Goku	悟空
角色	悟飯	Gohan	悟饭
角色	ミスター・サタン	Hercule	撒旦先生
角色	メカフリーザ	Frieza	机械弗利萨
角色	ドクター・ゲロ	Dr.Gero	格罗博士
角色	ピッコロ	Piccolo	比克
角色	ビーデル	Videl	比迪丽
角色	サウザー	Sauzer	沙维扎
角色	セル	Cell	沙鲁
角色	トランクス	Trunks	特兰克斯
角色	界王	Kai	界王
角色	神龍	Syenron	神龙
角色	ザーボン	Zarbon	萨博
角色	ベジータ	Vegeta	贝吉塔
角色	ダーブラ	Dabura	达普拉
角色	メタルクウラ	Metal Cooler	金属古拉
角色	ヤムチャ	Yamcha	雅木茶
角色	魔人ブウ	Buu	魔人布欧
招式	ＭＡＸバスター	MAX Buster	MAX爆裂炮
招式	ハイドラスマッシャー	Hydra Smasher	九头蛇粉碎击
招式	２０倍界王拳	Level 20 Kaioken	二十倍界王拳
招式	余裕	Relax!	从容
招式	ギャリック砲	Galick Gun	伽力克炮
招式	ギャリックファイヤー	Garlic Fire	伽力克烈焰
招式	元気玉	Spirit Bomb	元气弹
招式	フォトンウェイブ	Photon Wave	光子波
招式	フォトンブラスト	Photon Blast	光子爆破
招式	フォトンストライク	Photon Strike	光子突袭
招式	フォトンブリッツ	Photon Blitz	光子闪击
招式	フルパワーラッシュ	Full Power Rush	全力猛攻
招式	ネイズサイクロン	Neize Electron	内兹旋风
招式	ネストアイス	Nest Ice	冰巢
招式	リクームイレイザーガン	Recoome Boom	利库姆毁灭炮
招式	アトミックブラスト	Atomic Burst	原子爆裂
招式	ダブルバスター	Double Buster	双重爆裂
招式	双龍弾	Twin Dragon Shot	双龙弹
招式	吸収	Absorption	吸收
招式	ナイトメアブラスト	Nightmare Blast	噩梦爆破
招式	ヘルブレス	Hell Bless	地狱吐息
招式	ビッグバンアタック	Big Bang Attack	大爆炸攻击
招式	ビッグバンバースト	Big Bang Burst	大爆炸爆裂
招式	イノセンスキャノン	Innocence Cannon	天真加农炮
招式	セルジュニア乱舞	Cell Junior Vance	小沙鲁乱舞
招式	ギガンティックスパイク	Gigantic Spike	巨型尖刺
招式	コルドスマッシュ	Ghost King	库尔德重击
招式	アークブラスト	Arc Blast	弧光爆破
招式	アサルトレイン	Assault Rain	强袭骤雨
招式	ドーレプレッシャー	Doray Pressure	德雷重压
招式	サイコトライアングル	Psycho Triangle	念力三角阵
招式	サイコブラスト	Psycho Blast	念力爆破
招式	アングリーエクスプロージョン	Angry Explosion	愤怒爆炸
招式	操気弾	Soukidan	操气弹
招式	クレセントソード	Crescent Sword	新月剑
招式	ファイナルエクスプロージョン	Final Explosion	最终爆炸
招式	ファイナルブラスター	Final Blaster	最终爆破
招式	ファイナルブリッド	Final Bleed	最终连弹
招式	マシーナリーレイン	Machine Rain	机械暴雨
招式	コア・スマッシュ	Core Smash	核心重击
招式	ハッピースウィーツ	Happy Sweets	欢乐甜点
招式	デスビーム	Death Beam	死亡光束
招式	デスボール	Death Ball	死亡弹
招式	デスジャンク	Death Junk	死亡残骸
招式	デスウェーブ	Death Wave	死亡波
招式	デスブラスター	Death Blaster	死亡爆破
招式	気合連弾	Super Shots	气合连弹
招式	気円連斬	Kienrenzan	气圆连斩
招式	ゼクスブレイカー	Zex Breaker	泽克斯破坏击
招式	流星気功弾	Ryuuseikikoudan	流星气功弹
招式	メテオバースト	Meteor Burst	流星爆裂
招式	激烈光弾	Gekiretsukoudan	激烈光弹
招式	激烈破弾	Gekiretsuhadan	激烈破弹
招式	激烈魔閃弾	Gekiretsumasendan	激烈魔闪弹
招式	激絶乱魔	Gekizeturama	激绝乱魔
招式	バスターブレード	Buster Blade	爆裂剑
招式	バスターキャノン	Buster Cannon	爆裂加农炮
招式	ブラスターメテオ	Blaster Meteor	爆裂流星
招式	ブラスターシェル	Blaster Shell	爆裂炮弹
招式	クラッカーフォーメーション	Cracker Formation	爆裂阵形
招式	特戦隊ストーム	Ginyu Storm	特战队风暴
招式	レイジングラッシュ	Raging Rush	狂怒连击
招式	マッドキルダイブ	Mad Kill Dive	狂杀俯冲
招式	ラッシュブレード	Rush Blade	疾冲剑
招式	ラピッドショット	Rapid Shot	疾速气弹
招式	アイビーム	Eye Beam	眼部光线
招式	神魔伏滅	Shinmafukumetsu	神魔伏灭
招式	アルティメットウェーブ	Ultimate Wave	究极冲击波
招式	ウルトラ超サイヤ人	Ultra Super Saiyan	究极超级赛亚人
招式	アルティメットブリッツ	Ultimate Blitz	究极闪击
招式	クラッシャーボール	Crasher Ball	粉碎球
招式	ファイナルフラッシュ	Final Flash	终极闪光
招式	フィニッシュバスター	Finish Buster	终结爆裂
招式	勝利のＶサイン	V For Victory	胜利V字手势
招式	ビクトリーキャノン	V Cannon	胜利加农炮
招式	エナジードレイン	Energy Drain	能量吸收
招式	エネルギー吸収バリア	Absorbtion Barrier	能量吸收屏障
招式	エナジーマイン	Energy Mine	能量地雷
招式	サウザーブレード	Sauzer Blade	沙维扎利刃
招式	プラネットゲイザー	Planet Geyser	行星喷泉
招式	プラネットバースト	Planet Burst	行星爆裂
招式	Ｓ．Ｇ．Ｋ．Ｂ．	Super Ghost Bomber	超级幽灵炸弹
招式	Ｓ．Ｇ．Ｋ．Ａ．	S.G.K.A.	超级幽灵神风攻击
招式	超サイヤ人３	Super Saiyan 3	超级赛亚人3
招式	超かめはめ波	Super Kamehameha	超级龟派气功
招式	超龍撃弾	Super Shot	超龙击弹
招式	連続気合弾	Continuous Shots	连续气合弹
招式	エビルダンス	Evil Dance	邪恶之舞
招式	イノシシアタック	Boar Attack	野猪突击
招式	フラッシュセーバー	Flash Saber	闪光剑
招式	魔撃弾	Magekidan	魔击弹
招式	魔激閃光弾	Magekisenkoudan	魔激闪光弹
招式	魔空包囲弾	Makankuuhouidan	魔空包围弹
招式	魔貫光殺砲	Special Beam Cannon	魔贯光杀炮
招式	魔閃光	Demon Flash	魔闪光
招式	魔閃烈弾	Masenretsudan	魔闪烈弹
招式	かめはめ波	Kamehameha	龟派气功
特殊能力	１００％発動	100% Activation	100%全力
特殊能力	１６号	Android #16	16号
特殊能力	１７号	Android #17	17号
特殊能力	デンデ	Dende	丹迪
特殊能力	余裕	Relax	从容
特殊能力	再生能力	Regeneration Ability	再生能力
特殊能力	ライバル意識	Rival Awareness	劲敌意识
特殊能力	復活	Revive	复活
特殊能力	ドドリア	Dodoria	多多利亚
特殊能力	天津飯	Tien	天津饭
特殊能力	プライド	Pride	尊严
特殊能力	セルジュニア	Cell Jr.	小沙鲁
特殊能力	バーダック	Bardock	巴达克
特殊能力	強撃打	Power Shot	强力击打
特殊能力	怒り	Angry	愤怒
特殊能力	打倒カカロット！	Defeat Kakarot!	打倒卡卡罗特！
特殊能力	ミスターサタン	Hercule	撒旦先生
特殊能力	逆上	Frenzy	暴怒
特殊能力	永久エネルギー炉	Infinite Energy Type	永久能量炉
特殊能力	汚名返上	Honor Redeemed	洗刷污名
特殊能力	潜在能力開放	True Potential	潜在能力解放
特殊能力	スペシャルファイティングポーズ	Special Pose	特别战斗姿势
特殊能力	ネコマジンＺ	Neko Majin Z	猫魔人Z
特殊能力	界王拳	Kaioken	界王拳
特殊能力	真の力の開放	True Power Unleashed	真力解放
特殊能力	瞬間移動	Instant Transmission	瞬间移动
特殊能力	神龍	Shenron	神龙
特殊能力	勝利のＶサイン	V for Victory	胜利V字手势
特殊能力	エナジー吸収バリア	Absorption Barrier	能量吸收屏障
特殊能力	自爆	Self-Destruct	自爆
特殊能力	ザーボン	Zarbon	萨博
特殊能力	超サイヤ人	Super Saiyan	超级赛亚人
特殊能力	超サイヤ人１．５	Super Saiyan 1.5	超级赛亚人1.5
特殊能力	ダーブラ	Dabura	达普拉
特殊能力	ヤムチャ	Yamcha	雅木茶
特殊能力	魔導師バビディ	Babidi	魔导师巴比迪
团队必杀技	ギャリックバスター	Garlic Buster	伽力克爆裂
团队必杀技	フリーズストーム	Freeze Storm	冰冻风暴
团队必杀技	ツインソードスラッシュ	Twin Sword Slash	双剑斩
团队必杀技	ツインドレイン	Twin Drain	双重吸收
团队必杀技	ダブルアタック	Double Attack	双重攻击
团队必杀技	ダブル気円斬	Dual Destructo-Disk	双重气圆斩
团队必杀技	ヘルズスパイラル	Hell Spiral	地狱螺旋
团队必杀技	地球の戦士たち	Warriors of Earth	地球战士们
团队必杀技	セルジュニア乱舞	Cell Junior Dance	小沙鲁乱舞
团队必杀技	アウトサイダーショット	Outsider Shot	异端冲击
团队必杀技	バレーボールアタック	Volleyball Attack	排球攻击
团队必杀技	サタン大活躍	Hercule Attack	撒旦大显身手
团队必杀技	ダークソードスラッシュ	Dark Sword Slash	暗黑剑斩
团队必杀技	気の開放	Energy Unleashed	气之解放
团队必杀技	クラッカー・フォーメーション	Cracker Formation	爆裂阵形
团队必杀技	親子かめはめ波	Family Kamehameha	父子龟派气功
团队必杀技	絶対悪	Absolute Evil	绝对邪恶
团队必杀技	ブラインドメテオ	Blind Meteor	致盲流星
团队必杀技	超元気玉	Super Spirit Bomb	超级元气弹
团队必杀技	超ベジットソード	Super Bajit Sword	超级贝吉特剑
团队必杀技	超絶かめはめ波	Ultimate Kamehameha	超绝龟派气功
团队必杀技	ボディチェンジスペシャル	Body Change Special	身体互换特别版
团队必杀技	ギャラクティカドーナツ	Galactic Donuts	银河甜甜圈
团队必杀技	魔連撃	Evil Shot	魔连击
团队必杀技	魔閃光殺砲	Special Beam Cannon	魔闪光杀炮
