index	arm9_relative_offset	page	code_hex	native_character	x0	y0	x1	y1	width	height
0	000C8978	0	0021	!	0	0	8	14	9	15
1	000C8984	0	0022	""""	9	0	17	14	9	15
2	000C8990	0	0023	#	18	0	26	14	9	15
3	000C899C	0	0024	$	27	0	35	14	9	15
4	000C89A8	0	0025	%	36	0	44	14	9	15
5	000C89B4	0	0026	&	45	0	53	14	9	15
6	000C89C0	0	0027	'	54	0	62	14	9	15
7	000C89CC	0	0028	(	63	0	71	14	9	15
8	000C89D8	0	0029	)	72	0	80	14	9	15
9	000C89E4	0	002A	*	81	0	89	14	9	15
10	000C89F0	0	002B	+	90	0	98	14	9	15
11	000C89FC	0	002C	,	99	0	107	14	9	15
12	000C8A08	0	002D	-	108	0	116	14	9	15
13	000C8A14	0	002E	.	117	0	125	14	9	15
14	000C8A20	0	002F	/	126	0	134	14	9	15
15	000C8A2C	0	0030	0	135	0	143	14	9	15
16	000C8A38	0	0031	1	144	0	152	14	9	15
17	000C8A44	0	0032	2	153	0	161	14	9	15
18	000C8A50	0	0033	3	162	0	170	14	9	15
19	000C8A5C	0	0034	4	171	0	179	14	9	15
20	000C8A68	0	0035	5	180	0	188	14	9	15
21	000C8A74	0	0036	6	189	0	197	14	9	15
22	000C8A80	0	0037	7	198	0	206	14	9	15
23	000C8A8C	0	0038	8	207	0	215	14	9	15
24	000C8A98	0	0039	9	216	0	224	14	9	15
25	000C8AA4	0	003A	:	225	0	233	14	9	15
26	000C8AB0	0	003B	;	234	0	242	14	9	15
27	000C8ABC	0	003C	<	243	0	251	14	9	15
28	000C8AC8	0	003D	=	0	15	8	29	9	15
29	000C8AD4	0	003E	>	9	15	17	29	9	15
30	000C8AE0	0	003F	?	18	15	26	29	9	15
31	000C8AEC	0	0040	@	27	15	35	29	9	15
32	000C8AF8	0	0041	A	36	15	44	29	9	15
33	000C8B04	0	0042	B	45	15	53	29	9	15
34	000C8B10	0	0043	C	54	15	62	29	9	15
35	000C8B1C	0	0044	D	63	15	71	29	9	15
36	000C8B28	0	0045	E	72	15	80	29	9	15
37	000C8B34	0	0046	F	81	15	89	29	9	15
38	000C8B40	0	0047	G	90	15	98	29	9	15
39	000C8B4C	0	0048	H	99	15	107	29	9	15
40	000C8B58	0	0049	I	108	15	116	29	9	15
41	000C8B64	0	004A	J	117	15	125	29	9	15
42	000C8B70	0	004B	K	126	15	134	29	9	15
43	000C8B7C	0	004C	L	135	15	143	29	9	15
44	000C8B88	0	004D	M	144	15	152	29	9	15
45	000C8B94	0	004E	N	153	15	161	29	9	15
46	000C8BA0	0	004F	O	162	15	170	29	9	15
47	000C8BAC	0	0050	P	171	15	179	29	9	15
48	000C8BB8	0	0051	Q	180	15	188	29	9	15
