character	unicode	code_hex	native_slot_character	page	x0	y0	x1	y1	punctuation	source
袋	U+888B	8144	．	0	144	75	158	89	no	ark-12px-common
迪	U+8FEA	8145	・	0	159	75	173	89	no	ark-12px-common
并	U+5E76	814B	゜	0	234	75	248	89	no	ark-12px-common
收	U+6536	814C	´	0	0	90	14	104	no	ark-12px-common
复	U+590D	814D	｀	0	15	90	29	104	no	ark-12px-common
欧	U+6B27	814F	＾	0	30	90	44	104	no	ark-12px-common
苍	U+82CD	8150	￣	0	45	90	59	104	no	ark-12px-common
就	U+5C31	8151	＿	0	60	90	74	104	no	ark-12px-common
拾	U+62FE	8152	ヽ	0	75	90	89	104	no	ark-12px-common
邀	U+9080	8154	ゝ	0	90	90	104	104	no	ark-12px-common
肯	U+80AF	8158	々	0	105	90	119	104	no	ark-12px-common
很	U+5F88	815B	ー	0	120	90	134	104	no	ark-12px-common
冲	U+51B2	815C	―	0	135	90	149	104	no	ark-12px-common
蝇	U+8747	815E	／	0	150	90	164	104	no	ark-12px-common
额	U+989D	815F	＼	0	165	90	179	104	no	ark-12px-common
播	U+64AD	8160	〜	0	180	90	194	104	no	ark-12px-common
已	U+5DF2	8161	‖	0	195	90	209	104	no	ark-12px-common
做	U+505A	8162	｜	0	210	90	224	104	no	ark-12px-common
赴	U+8D74	8165	‘	0	240	90	254	104	no	ark-12px-common
觉	U+89C9	8166	’	0	0	105	14	119	no	ark-12px-common
那	U+90A3	816F	｛	0	60	105	74	119	no	ark-12px-common
张	U+5F20	8170	｝	0	75	105	89	119	no	ark-12px-common
丑	U+4E11	8173	《	0	90	105	104	119	no	ark-12px-zh_cn
陋	U+964B	8174	》	0	105	105	119	119	no	ark-12px-common
蠢	U+8822	8175	「	0	120	105	134	119	no	ark-12px-common
脸	U+8138	8176	」	0	135	105	149	119	no	ark-12px-common
唔	U+5514	8177	『	0	150	105	164	119	no	ark-12px-common
晓	U+6653	8178	』	0	165	105	179	119	no	ark-12px-common
啦	U+5566	8179	【	0	180	105	194	119	no	ark-12px-common
—	U+2014	817A	】	0	195	105	209	119	no	ark-12px-common
闻	U+95FB	817C	−	0	225	105	239	119	no	ark-12px-common
零	U+96F6	817E	×	0	240	105	254	119	no	ark-12px-zh_cn
买	U+4E70	8180	÷	0	0	120	14	134	no	ark-12px-common
杀	U+6740	8182	≠	0	30	120	44	134	no	fusion-12px-zh_hans
哎	U+54CE	8183	＜	0	45	120	59	134	no	ark-12px-common
啊	U+554A	8187	∞	0	90	120	104	134	no	ark-12px-common
瞒	U+7792	818F	￥	0	105	120	119	134	no	ark-12px-common
欢	U+6B22	8190	＄	0	120	120	134	134	no	ark-12px-common
这	U+8FD9	8192	£	0	135	120	149	134	no	ark-12px-common
迸	U+8FF8	8193	％	0	150	120	164	134	no	ark-12px-common
岛	U+5C9B	8194	＃	0	165	120	179	134	no	ark-12px-common
偷	U+5077	8196	＊	0	195	120	209	134	no	ark-12px-common
芒	U+8292	8197	＠	0	210	120	224	134	no	ark-12px-common
撑	U+6491	8199	☆	0	225	120	239	134	no	ark-12px-common
后	U+540E	819A	★	0	240	120	254	134	no	ark-12px-common
赌	U+8D4C	819B	○	0	0	135	14	149	no	ark-12px-common
击	U+51FB	819E	◇	0	30	135	44	149	no	ark-12px-common
呜	U+545C	819F	◆	0	45	135	59	149	no	ark-12px-common
闯	U+95EF	81A1	■	0	60	135	74	149	no	ark-12px-common
哦	U+54E6	81A6	※	0	75	135	89	149	no	ark-12px-common
掩	U+63A9	81A8	→	0	90	135	104	149	no	ark-12px-common
看	U+770B	81A9	←	0	105	135	119	149	no	ark-12px-common
异	U+5F02	81AA	↑	0	120	135	134	149	no	ark-12px-zh_cn
炸	U+70B8	81AB	↓	0	135	135	149	149	no	ark-12px-common
粉	U+7C89	81B9	∋	0	150	135	164	149	no	ark-12px-common
缠	U+7F20	81BC	⊂	0	165	135	179	149	no	ark-12px-common
堪	U+582A	81BE	∪	0	180	135	194	149	no	ark-12px-common
碎	U+788E	81C9	∨	0	195	135	209	149	no	ark-12px-common
四	U+56DB	81CD	∀	0	210	135	224	149	no	ark-12px-common
飞	U+98DE	81DA	∠	0	225	135	239	149	no	ark-12px-common
溅	U+6E85	81DF	≡	0	0	150	14	164	no	ark-12px-common
让	U+8BA9	81E0	≒	0	15	150	29	164	no	ark-12px-common
“	U+201C	81E2	≫	0	30	150	44	164	yes	ark-12px-common
达	U+8FBE	81E3	√	0	45	150	59	164	no	ark-12px-common
