priority	code_hex	native_character	page	x0	y0	x1	y1	used_in_original_jp_scripts	status	warning
9999	0021	!	0	0	0	8	14	yes	used_original_script	
9999	0022	""""	0	9	0	17	14	no	reserved	
9999	0023	#	0	18	0	26	14	no	reserved	
9999	0024	$	0	27	0	35	14	no	reserved	
9999	0025	%	0	36	0	44	14	no	reserved	
9999	0026	&	0	45	0	53	14	no	reserved	
9999	0027	'	0	54	0	62	14	no	reserved	
9999	0028	(	0	63	0	71	14	yes	used_original_script	
9999	0029	)	0	72	0	80	14	yes	used_original_script	
9999	002A	*	0	81	0	89	14	no	reserved	
9999	002B	+	0	90	0	98	14	no	reserved	
9999	002C	,	0	99	0	107	14	no	reserved	
9999	002D	-	0	108	0	116	14	no	reserved	
9999	002E	.	0	117	0	125	14	yes	used_original_script	
9999	002F	/	0	126	0	134	14	no	reserved	
9999	0030	0	0	135	0	143	14	no	reserved	
9999	0031	1	0	144	0	152	14	no	reserved	
9999	0032	2	0	153	0	161	14	no	reserved	
9999	0033	3	0	162	0	170	14	no	reserved	
9999	0034	4	0	171	0	179	14	no	reserved	
9999	0035	5	0	180	0	188	14	no	reserved	
9999	0036	6	0	189	0	197	14	no	reserved	
9999	0037	7	0	198	0	206	14	no	reserved	
9999	0038	8	0	207	0	215	14	no	reserved	
9999	0039	9	0	216	0	224	14	no	reserved	
9999	003A	:	0	225	0	233	14	no	reserved	
9999	003B	;	0	234	0	242	14	no	reserved	
9999	003C	<	0	243	0	251	14	no	reserved	
9999	003D	=	0	0	15	8	29	no	reserved	
9999	003E	>	0	9	15	17	29	no	reserved	
9999	003F	?	0	18	15	26	29	yes	used_original_script	
9999	0040	@	0	27	15	35	29	no	reserved	
9999	0041	A	0	36	15	44	29	no	reserved	
9999	0042	B	0	45	15	53	29	no	reserved	
9999	0043	C	0	54	15	62	29	no	reserved	
9999	0044	D	0	63	15	71	29	no	reserved	
9999	0045	E	0	72	15	80	29	no	reserved	
9999	0046	F	0	81	15	89	29	no	reserved	
9999	0047	G	0	90	15	98	29	no	reserved	
9999	0048	H	0	99	15	107	29	no	reserved	
9999	0049	I	0	108	15	116	29	no	reserved	
9999	004A	J	0	117	15	125	29	no	reserved	
9999	004B	K	0	126	15	134	29	no	reserved	
9999	004C	L	0	135	15	143	29	no	reserved	
9999	004D	M	0	144	15	152	29	no	reserved	
9999	004E	N	0	153	15	161	29	no	reserved	
9999	004F	O	0	162	15	170	29	no	reserved	
9999	0050	P	0	171	15	179	29	no	reserved	
9999	0051	Q	0	180	15	188	29	no	reserved	
9999	0052	R	0	189	15	197	29	no	reserved	
9999	0053	S	0	198	15	206	29	no	reserved	
9999	0054	T	0	207	15	215	29	no	reserved	
9999	0055	U	0	216	15	224	29	no	reserved	
9999	0056	V	0	225	15	233	29	no	reserved	
9999	0057	W	0	234	15	242	29	no	reserved	
9999	0058	X	0	243	15	251	29	no	reserved	
9999	0059	Y	0	0	30	8	44	no	reserved	
9999	005A	Z	0	9	30	17	44	no	reserved	
9999	005B	[	0	18	30	26	44	no	reserved	
9999	005C	\	0	27	30	35	44	yes	used_original_script	
9999	005D	]	0	36	30	44	44	no	reserved	
9999	005E	^	0	45	30	53	44	no	reserved	
9999	005F	_	0	54	30	62	44	no	reserved	
9999	0060	`	0	63	30	71	44	no	reserved	
9999	0061	a	0	72	30	80	44	no	reserved	
9999	0062	b	0	81	30	89	44	no	reserved	
9999	0063	c	0	90	30	98	44	no	reserved	
9999	0064	d	0	99	30	107	44	no	reserved	
9999	0065	e	0	108	30	116	44	no	reserved	
9999	0066	f	0	117	30	125	44	no	reserved	
9999	0067	g	0	126	30	134	44	no	reserved	
9999	0068	h	0	135	30	143	44	no	reserved	
9999	0069	i	0	144	30	152	44	no	reserved	
9999	006A	j	0	153	30	161	44	no	reserved	
9999	006B	k	0	162	30	170	44	no	reserved	
9999	006C	l	0	171	30	179	44	no	reserved	
9999	006D	m	0	180	30	188	44	no	reserved	
9999	006E	n	0	189	30	197	44	yes	used_original_script	
9999	006F	o	0	198	30	206	44	no	reserved	
9999	0070	p	0	207	30	215	44	no	reserved	
9999	0071	q	0	216	30	224	44	no	reserved	
9999	0072	r	0	225	30	233	44	no	reserved	
9999	0073	s	0	234	30	242	44	no	reserved	
9999	0074	t	0	243	30	251	44	no	reserved	
9999	0075	u	0	0	45	8	59	no	reserved	
9999	0076	v	0	9	45	17	59	no	reserved	
9999	0077	w	0	18	45	26	59	no	reserved	
9999	0078	x	0	27	45	35	59	no	reserved	
9999	0079	y	0	36	45	44	59	no	reserved	
9999	007A	z	0	45	45	53	59	no	reserved	
9999	007B	{	0	54	45	62	59	no	reserved	
9999	007C	|	0	63	45	71	59	no	reserved	
9999	007D	}	0	72	45	80	59	no	reserved	
9999	007E	~	0	81	45	89	59	no	reserved	
9999	00A1	｡	0	90	45	98	59	no	reserved	
9999	00A4	､	0	99	45	107	59	no	reserved	
9999	00A5	･	0	108	45	116	59	yes	used_original_script	
9999	00A6	ｦ	0	117	45	125	59	no	reserved	
9999	00A7	ｧ	0	126	45	134	59	no	reserved	
9999	00AC	ｬ	0	135	45	143	59	no	reserved	
9999	00AD	ｭ	0	144	45	152	59	no	reserved	
9999	00AE	ｮ	0	153	45	161	59	no	reserved	
9999	00AF	ｯ	0	162	45	170	59	no	reserved	
9999	00B0	ｰ	0	171	45	179	59	no	reserved	
9999	00B1	ｱ	0	180	45	188	59	no	reserved	
9999	00B2	ｲ	0	189	45	197	59	no	reserved	
9999	00B3	ｳ	0	198	45	206	59	no	reserved	
9999	00B4	ｴ	0	207	45	215	59	no	reserved	
9999	00B5	ｵ	0	216	45	224	59	no	reserved	
9999	00B6	ｶ	0	225	45	233	59	no	reserved	
9999	00B7	ｷ	0	234	45	242	59	no	reserved	
9999	00B8	ｸ	0	243	45	251	59	no	reserved	
9999	00B9	ｹ	0	0	60	8	74	no	reserved	
9999	00BA	ｺ	0	9	60	17	74	no	reserved	
9999	00BB	ｻ	0	18	60	26	74	no	reserved	
9999	00BC	ｼ	0	27	60	35	74	no	reserved	
9999	00BD	ｽ	0	36	60	44	74	no	reserved	
9999	00BE	ｾ	0	45	60	53	74	no	reserved	
9999	00BF	ｿ	0	54	60	62	74	no	reserved	
9999	00C0	ﾀ	0	63	60	71	74	no	reserved	
9999	00C1	ﾁ	0	72	60	80	74	no	reserved	
9999	00C2	ﾂ	0	81	60	89	74	no	reserved	
9999	00C3	ﾃ	0	90	60	98	74	no	reserved	
9999	00C4	ﾄ	0	99	60	107	74	no	reserved	
9999	00C5	ﾅ	0	108	60	116	74	no	reserved	
9999	00C6	ﾆ	0	117	60	125	74	no	reserved	
9999	00C7	ﾇ	0	126	60	134	74	no	reserved	
9999	00C8	ﾈ	0	135	60	143	74	no	reserved	
9999	00C9	ﾉ	0	144	60	152	74	no	reserved	
9999	00CA	ﾊ	0	153	60	161	74	no	reserved	
9999	00CB	ﾋ	0	162	60	170	74	no	reserved	
9999	00CC	ﾌ	0	171	60	179	74	no	reserved	
9999	00CD	ﾍ	0	180	60	188	74	no	reserved	
9999	00CE	ﾎ	0	189	60	197	74	no	reserved	
9999	00CF	ﾏ	0	198	60	206	74	no	reserved	
9999	00D0	ﾐ	0	207	60	215	74	no	reserved	
9999	00D1	ﾑ	0	216	60	224	74	no	reserved	
9999	00D2	ﾒ	0	225	60	233	74	no	reserved	
9999	00D3	ﾓ	0	234	60	242	74	no	reserved	
9999	00D4	ﾔ	0	243	60	251	74	no	reserved	
