id	script	block	command	english
157	bmr	17	14	Dabura\nB...\nBuu?!
239	brl	7	15	Goku\nThis is a great fight and all, but...\nThis isn't the right place...
447	cel	6	24	Trunks\nCell! What are you after at the\nWorld Tournament?! What is your\nfinal objective?!
594	col	8	17	Metal Cooler\nHere and now we will decide who is\nthe strongest in the universe!
795	crr	2	28	"\nLearned special ability\n""True Potential""!"
968	drg	1	12	Goku\nGuh... Haa! Haa!\nUh... AAAAAH!
1107	egh	5	28	Piccolo\nYou really think I'd just tell you?
1299	frz	5	101	\nWhile using Frieza\nif Ki power is more than 100\npress the L Button!
1484	gnu	12	10	Ginyu\n(Who IS this guy?!\nIs he a Saiyan?!)
1737	goh	14	16	Gohan\nHe's still alive!\nKA-ME-HA-ME-...\nHAAAAAAAAAAA!
1916	gok	6	27	Gohan\nM-me? Against Cell...?
2186	gtk	10	89	Buu\nHehehe... I turned them into\nchocolate.
2385	pic	11	68	Piccolo\nStay focused!\nI'll fight with you!
2579	trk	11	15	Cell\nWhat?!\nHow did you...?!
2892	tut	28	32	Gotenks\nHAAAAAAAA...!
2916	veg	1	21	Yajirobe\nY-YAAAH!
