route	slot	simplified_chinese
gok	0	界王拳
gok	1	瞬间移动
gok	2	二十倍界王拳
gok	3	超级赛亚人3
gok	4	双重攻击
gok	5	超级贝吉特剑
gok	6	超级元气弹
goh	0	超级赛亚人
goh	1	暴怒
goh	2	真力解放
goh	3	魔激闪光弹
goh	4	狂怒连击
goh	5	超级龟派气功
goh	6	父子龟派气功
goh	7	超绝龟派气功
crr	0	潜在能力解放
crr	1	流星气功弹
crr	2	气之解放
crr	3	地球战士们
crr	4	双重气圆斩
pic	0	再生能力
pic	1	神魔伏灭
pic	2	魔连击
pic	3	魔闪光杀炮
pic	4	异端冲击
veg	0	劲敌意识
veg	1	打倒卡卡罗特！
veg	2	伽力克烈焰
veg	3	大爆炸爆裂
veg	4	最终爆炸
trk	0	愤怒
trk	1	超级赛亚人1.5
trk	2	爆裂剑
trk	3	MAX爆裂炮
trk	4	伽力克爆裂
trk	5	双剑斩
gtk	0	超级赛亚人
gtk	1	胜利V字手势
gtk	2	究极超级赛亚人
gtk	3	超级幽灵炸弹
gtk	4	排球攻击
gnu	0	特别战斗姿势
gnu	1	特战队风暴
gnu	2	身体互换特别版
gnu	3	爆裂阵形
frz	0	100%全力
frz	1	从容
frz	2	死亡弹
frz	3	库尔德重击
frz	4	致盲流星
drg	0	能量吸收屏障
drg	1	能量吸收
drg	2	双重吸收
egh	0	永久能量炉
egh	1	能量地雷
egh	2	地狱螺旋
cel	0	自爆
cel	1	尊严
cel	2	吸收
cel	3	全力猛攻
cel	4	小沙鲁乱舞
cel	5	绝对邪恶
bmr	0	再生能力
bmr	1	强力击打
bmr	2	欢乐甜点
bmr	3	九头蛇粉碎击
bmr	4	撒旦大显身手
bmr	5	银河甜甜圈
bmr	6	暗黑剑斩
col	0	洗刷污名
col	1	复活
col	2	弧光爆破
col	3	机械暴雨
col	4	冰冻风暴
brl	0	爆裂流星
brl	1	打倒卡卡罗特！
