route	frame	row	simplified_chinese
bmr	00	0	魔人复活
bmr	00	1	悟空消失
bmr	00	2	最后的朋友
bmr	00	3	邪恶魔人布欧
bmr	01	0	你赢不了我！
bmr	01	1	最终决战
bmr	01	2	快乐时光
bmr	01	3	地狱入口
bmr	02	0	地狱的强者
brl	00	0	新贝吉塔行星
brl	00	1	失控的布罗利
brl	00	2	宿命对决！布罗利VS悟空
brl	00	3	布罗利的反击
brl	01	0	布罗利之死
brl	01	1	飞向宇宙
brl	01	2	传说VS完全体
brl	01	3	复活的魔人
brl	02	0	新的启程
brl	02	1	布罗利与撒旦
brl	02	2	布罗利觉醒
cel	00	0	神秘怪物终于现身！
cel	00	1	比克的拼死抵抗
cel	00	2	完全体诞生！
cel	00	3	最高级别的决战
cel	01	0	超越悟空的战士
cel	01	1	沙鲁游戏的结局
cel	01	2	沙鲁小子的地狱
cel	01	3	宇宙最强之位
cel	02	0	恶与恶的终极决战！
cel	02	1	争夺最强之位……
col	00	0	古拉进攻！
col	00	1	悟空VS古拉
col	00	2	比高星
col	00	3	金属古拉的末日
col	01	0	悟饭的末日
col	01	1	特兰克斯出击！
col	01	2	弗利萨的背叛
col	01	3	金属古拉降临地球
col	02	0	人造人
col	02	1	古拉的失败
col	02	2	终极生命体沙鲁
crr	00	0	发射元气弹！
crr	00	1	释放潜在能力
crr	00	2	弗利萨的恐怖
crr	00	3	克林的迷惘
crr	01	0	经验差距
crr	01	1	修行
crr	01	2	基纽特战队复活！
crr	01	3	地球战士们
crr	02	0	孤独之战
crr	02	1	逃向希望
drg	00	0	人造人进入城市
drg	00	1	人造人VS贝吉塔
drg	00	2	吸收能量
drg	00	3	18号觉醒
drg	01	0	贝吉塔败北
drg	01	1	支配者
drg	01	2	愤怒的特兰克斯
drg	01	3	完全体
drg	02	0	消灭沙鲁
egh	00	0	18号启动！
egh	00	1	游戏
egh	00	2	18号VS比克
egh	00	3	克林的迷惘
egh	01	0	天下第一武道会
egh	01	1	史上最强的孩子们
egh	01	2	失意之后
egh	01	3	10年前……
egh	02	0	16号的关怀
frz	00	0	弗利萨的焦躁
frz	00	1	弗利萨出击
frz	00	2	传说中的超级赛亚人
frz	00	3	前往地球……
frz	01	0	在地狱的日子
frz	01	1	暗杀弗利萨计划
frz	01	2	骨肉相残
frz	01	3	再次前往地球
frz	02	0	长生不老
gnu	00	0	基纽特战队
gnu	00	1	基纽特战队的危机
gnu	00	2	基纽VS基纽
gnu	00	3	特战队前往地球
gnu	01	0	基纽VS人造人
gnu	01	1	最大的危机
gnu	01	2	基纽首次联手
gnu	01	3	寻找最后的龙珠！
gnu	02	0	好痛啊，神龙！
gnu	02	1	必杀！特战队风暴
goh	00	0	觉醒
goh	00	1	沙鲁游戏
goh	00	2	金色战士
goh	00	3	陷阱
goh	01	0	Z剑
goh	01	1	释放真正力量
goh	01	2	破坏神
goh	01	3	未来
goh	02	0	重逢
goh	02	1	野心
goh	02	2	师父
goh	02	3	决战
gok	00	0	开始行动的帝王
gok	00	1	愤怒的战士
gok	00	2	20倍界王拳
gok	00	3	沙鲁游戏开幕！
gok	01	0	宿命对决
gok	01	1	最后的元气弹
gok	01	2	悟空VS古拉
gok	01	3	对决！金属古拉
gok	02	0	传说中的恶魔到来！
gok	02	1	命运的重逢
gok	02	2	跨越极限！
gok	02	3	究极战士诞生！
gok	03	0	宿命对决，再度上演！
gok	03	1	真正的武道家
gtk	00	0	融合！
gtk	00	1	与魔人布欧初次交锋！
gtk	00	2	必杀的超级赛亚人！
gtk	00	3	对决！邪恶魔人布欧
gtk	01	0	被破坏的门
gtk	01	1	最终决战！
gtk	01	2	悟天克斯VS贝吉塔
gtk	01	3	现身的邪恶布欧！
gtk	02	0	飞向宇宙旅行！
gtk	02	1	胜利的V字手势！
gtk	03	0	飞向宇宙旅行！
gtk	03	1	胜利的V字手势！
mxa	00	0	全员DP1
mxa	00	1	自称天才！！
mxa	00	2	弗利萨一伙
mxa	00	3	人造人来袭
mxa	01	0	追求完全之人
