group	id	body_chinese
practice	doc00	可与静止不动的对手\n进行自由练习。
practice	doc01	操作悟天克斯，向《龙珠Z》的\n登场角色学习游戏玩法。
tutorial	move	学习移动的基本操作。
tutorial	attack	学习攻击的基本操作。
tutorial	gard	防御是减少伤害的重要技巧。\n学习防御的基本操作。
tutorial	support	学习支援攻击的使用方法。
tutorial	change	陷入危机时就立即交替！\n学习切换队友的方法。
tutorial	aura	气力耗尽便无法行动！\n学习积蓄气力的方法。
tutorial	hdash	高速冲向对手！\n学习追踪冲刺的方法。
tutorial	barrier	让任何攻击都失效！\n学习防护罩防御的方法。
tutorial	throw	可破解对手的防御！\n学习投技的使用方法。
tutorial	bullet	学习远距离攻击的主要手段——\n气弹的使用方法。
tutorial	reflect	将飞来的气弹弹回去！\n学习气弹反射的方法。
tutorial	special	看似不起眼，运用得当却很强力！\n学习特殊能力的使用方法。
tutorial	killer	最大的决胜手段！\n学习必杀技的使用方法。
tutorial	fight	必杀技相撞时会怎样……？\n学习必杀技对决的方法。
tutorial	union	华丽而强力！\n学习团队作战的精髓——\n团队必杀技。
