id	title_chinese	description_chinese
BABIDI	巴比迪的宇宙飞船	巴比迪宇宙飞船内的房间。\n这里是游戏中最狭窄的场景，\n四周墙壁很近，天花板也很低。
BGSTAR	比高星	金属古拉曾在这里战斗。\n场地采用标准结构。
CELLGAME	沙鲁游戏	沙鲁曾在这个擂台战斗。\n场地开阔且设有墙壁，\n整体结构并不规则。
ICE	冰原	电影中多次出现的冰雪场景。\n整体宽度标准，\n但天花板比其他场景更低。
IWABA	荒野	无数战斗曾在这里发生。\n偶尔会有飞机袭来。\n场地宽度标准。
KAIOH	界王神界	界王神界中，插着Z剑的山丘\n令人印象深刻。\n场地大小标准，攻守均衡。
KARIN	卡林圣地	神殿悬浮在高空中的场景。\n这里拥有游戏中最高的\n纵向活动空间。
MUJIN	无人岛群	美丽的无人岛群，\n却经历了比克与17号、\n沙鲁与贝吉塔之间的激战。
NAMEA	那美克星	那美克星上一片开阔的区域。\n场地宽广平坦，\n可享受均衡的攻防。
NAMEB	崩坏的那美克星	悟空在此成为超级赛亚人。\n狭窄且设有墙壁的场地，\n适合展开激烈的攻防。
NONE	随机	随机选择一个场景。
RUINS	废墟	被人造人摧毁的未来都市。\n场地大小标准，\n攻守两端都十分均衡。
SEISHIN	精神时光屋	无数战士曾在这里修行。\n场地大小标准。
TENKA	天下第一武道会	熟悉的天下第一武道会会场，\n再现了魔人布欧篇的擂台。
VEGITA	新贝吉塔行星	传说中的超级赛亚人布罗利\n曾在这里展开激战。\n场地大小标准，攻守均衡。
WESTCC	西都	令人印象深刻的华丽场景。\n场地大小标准，\n攻守两端都十分均衡。
